Model	Release date	Max resolution	Zoom wide (W)	Normal focus range	Storage included	Weight	Price
Kodak DC210 plus	1998	1152.0	29.0	50.0	8.0	400.0	129.0
Kodak DC220	1998	1152.0	29.0	50.0	8.0	550.0	129.0
Kodak DC290	1999	1792.0	38.0	30.0	20.0	550.0	129.0
Kodak DC3200	2000	1152.0	39.0	60.0	2.0	240.0	129.0
Kodak DC5000	2000	1760.0	30.0	50.0	16.0	459.0	126.0
Kodak DX3500	2001	1800.0	38.0	75.0	8.0	225.0	129.0
Kodak DX7630	2004	2872.0	39.0	60.0	32.0	270.0	126.0
Kodak Easyshare One	2005	2304.0	36.0	60.0	256.0	275.0	296.0
Kodak LS420	2002	1752.0	38.0	80.0	8.0	160.0	129.0
Kodak M753	2007	3056.0	37.0	40.0	16.0	165.0	126.0
Kodak P850	2005	2592.0	36.0	10.0	32.0	450.0	146.0
Kodak V550	2005	2569.0	36.0	60.0	32.0	160.0	126.0
Kodak Z700	2005	2304.0	35.0	60.0	16.0	270.0	126.0
Kyocera Finecam L30	2003	2048.0	38.0	60.0	16.0	220.0	169.0
Kyocera Finecam L3V	2003	2048.0	38.0	60.0	16.0	220.0	169.0
Kyocera Finecam L4V	2003	2304.0	35.0	60.0	16.0	220.0	199.0
Kyocera Finecam S3	2001	2048.0	38.0	30.0	16.0	160.0	1699.0
Kyocera Finecam S4	2002	2272.0	35.0	55.0	16.0	175.0	1699.0
Kyocera Finecam S5	2002	2560.0	35.0	55.0	16.0	205.0	1699.0
Leica Digilux	1998	1280.0	35.0	50.0	2.0	260.0	149.0
Leica Digilux 1	2002	2240.0	33.0	30.0	32.0	455.0	249.0
Leica Digilux 2	2003	2560.0	28.0	30.0	64.0	705.0	249.0
Leica Digilux 3	2006	3136.0	0.0	0.0	0.0	606.0	269.0
Leica Digilux Zoom	2000	1280.0	38.0	80.0	8.0	270.0	249.0
Nikon Coolpix 100	1997	512.0	52.0	23.0	1.0	200.0	229.0
Nikon Coolpix 2000	2002	1632.0	38.0	0.0	8.0	295.0	229.0
Nikon Coolpix 5000	2001	2560.0	28.0	50.0	32.0	414.0	229.0
Nikon Coolpix 600	1998	1024.0	36.0	50.0	8.0	220.0	229.0
Nikon Coolpix 700	1999	1600.0	35.0	30.0	8.0	340.0	229.0
Nikon Coolpix 800	1999	1600.0	38.0	30.0	8.0	360.0	229.0
Nikon Coolpix L1	2005	2816.0	38.0	50.0	10.0	195.0	99.0
Nikon Coolpix L11	2007	2816.0	37.0	40.0	7.0	175.0	99.0
Nikon Coolpix L2	2006	2816.0	38.0	30.0	23.0	170.0	99.0
Nikon Coolpix L3	2006	2592.0	38.0	30.0	23.0	170.0	99.0
Nikon Coolpix L4	2006	2272.0	38.0	30.0	10.0	165.0	99.0
Nikon Coolpix P5000	2007	3648.0	36.0	30.0	26.0	240.0	399.0
Nikon Coolpix S9	2006	2816.0	38.0	25.0	24.0	165.0	199.0
Nikon Coolpix SQ	2003	2016.0	37.0	30.0	16.0	216.0	199.0
Nikon D1	1999	2000.0	0.0	0.0	0.0	1200.0	1599.0
Nikon D100	2002	3008.0	0.0	0.0	0.0	780.0	1599.0
Nikon D1H	2001	2000.0	0.0	0.0	0.0	1200.0	1599.0
Nikon D1X	2001	3008.0	0.0	0.0	0.0	1200.0	4699.0
Olympus C-1	2001	1280.0	35.0	50.0	8.0	190.0	1699.0
Olympus D-370	2001	1280.0	35.0	60.0	1.0	190.0	1699.0
Olympus C-2	2001	1600.0	36.0	50.0	16.0	220.0	1699.0
Olympus C-21	1999	1600.0	38.0	60.0	8.0	190.0	1699.0
Olympus D-40 Zoom	2001	2272.0	35.0	80.0	16.0	270.0	1699.0
Olympus C-5500 Sport Zoom	2005	2592.0	38.0	60.0	16.0	340.0	129.0
Olympus C-7070 Wide Zoom	2005	3072.0	27.0	80.0	32.0	480.0	129.0
Olympus C-8080 Wide Zoom	2004	3264.0	28.0	80.0	32.0	724.0	179.0
Olympus D-200L	1996	640.0	36.0	75.0	2.0	320.0	129.0
Olympus D-300L	1996	1024.0	36.0	50.0	6.0	320.0	1699.0
Olympus D-390	2003	1600.0	35.0	50.0	16.0	230.0	1699.0
Olympus D-400 Zoom	1998	1280.0	35.0	80.0	8.0	320.0	129.0
Olympus D-500L	1997	1024.0	50.0	60.0	2.0	490.0	449.0
Olympus D-540 Zoom	2004	2048.0	38.0	50.0	16.0	200.0	449.0
Olympus D-600L	1997	1280.0	36.0	60.0	4.0	0.0	1699.0
Olympus E-1	2003	2560.0	0.0	0.0	0.0	735.0	1699.0
Olympus E-300	2004	3264.0	0.0	0.0	0.0	624.0	1699.0
Olympus E-400	2006	3648.0	0.0	0.0	0.0	435.0	1699.0
Olympus E-500	2005	3264.0	0.0	0.0	0.0	479.0	1699.0
Olympus FE-100	2005	2272.0	35.0	50.0	28.0	160.0	129.0
Olympus FE-200	2006	2816.0	28.0	0.0	24.0	195.0	129.0
Olympus FE-300	2007	4000.0	35.0	60.0	48.0	115.0	129.0
Olympus IR-300	2005	2560.0	38.0	50.0	15.0	160.0	129.0
Olympus Stylus 300 	2003	2048.0	35.0	50.0	16.0	220.0	229.0
Olympus Stylus 400 	2003	2272.0	35.0	50.0	16.0	220.0	229.0
Olympus SP-310	2005	3072.0	38.0	20.0	32.0	230.0	449.0
Olympus SP-320	2006	3072.0	38.0	20.0	25.0	230.0	449.0
Olympus Stylus 410 	2004	2272.0	35.0	50.0	16.0	200.0	229.0
Olympus Stylus 500 	2004	2560.0	35.0	50.0	32.0	200.0	229.0
Olympus Stylus 730	2006	3072.0	38.0	50.0	22.0	190.0	229.0
Olympus Stylus 780	2007	3072.0	36.0	70.0	18.0	195.0	299.0
Olympus Stylus Verve 	2004	2272.0	35.0	50.0	16.0	165.0	229.0
Panasonic Lumix DMC-F7	2001	1600.0	35.0	50.0	8.0	200.0	1499.0
Panasonic Lumix DMC-FX07	2006	3072.0	28.0	50.0	0.0	170.0	1499.0
Panasonic Lumix DMC-FX100	2007	4000.0	28.0	50.0	27.0	150.0	1499.0
Panasonic Lumix DMC-FZ1	2002	1600.0	35.0	30.0	8.0	354.0	149.0
Panasonic Lumix DMC-L1	2006	3136.0	0.0	0.0	0.0	606.0	1499.0
Panasonic Lumix DMC-LC5	2001	2240.0	33.0	30.0	32.0	435.0	1499.0
Panasonic Lumix DMC-LS75	2007	3072.0	35.0	50.0	27.0	188.0	1499.0
Panasonic Lumix DMC-LX1	2005	3840.0	28.0	50.0	32.0	220.0	1499.0
Panasonic Lumix DMC-LZ1	2005	2304.0	37.0	50.0	14.0	224.0	149.0
Pentax EI-100	2001	1280.0	42.0	60.0	8.0	240.0	509.0
Pentax EI-200	2000	1600.0	34.0	50.0	16.0	390.0	509.0
Pentax K100D	2006	3008.0	0.0	0.0	0.0	660.0	509.0
Pentax Optio 230	2002	1600.0	38.0	50.0	16.0	230.0	269.0
Pentax Optio E10	2006	2816.0	34.0	50.0	10.0	180.0	149.0
Pentax Optio MX4	2004	2304.0	37.0	40.0	16.0	375.0	149.0
Pentax Optio S	2003	2048.0	35.0	40.0	16.0	115.0	149.0
Pentax Optio S7	2006	3072.0	37.0	40.0	23.0	120.0	149.0
Pentax Optio SV	2004	2560.0	36.0	60.0	32.0	165.0	149.0
Pentax Optio T10	2006	2816.0	37.0	40.0	12.0	155.0	249.0
Pentax Optio WP	2005	2560.0	38.0	40.0	10.0	135.0	269.0
Pentax Optio X	2004	2560.0	36.0	40.0	14.0	145.0	149.0
Pentax Optio Z10	2007	3264.0	38.0	40.0	0.0	0.0	249.0
Ricoh Caplio 500G	2006	3264.0	28.0	30.0	26.0	450.0	229.0
Ricoh Caplio R2	2005	2560.0	28.0	30.0	28.0	195.0	99.0
Ricoh Caplio R3	2005	2560.0	28.0	30.0	26.0	165.0	99.0
Ricoh Caplio R30	2006	2560.0	28.0	30.0	28.0	180.0	99.0
Ricoh Caplio R4	2006	2816.0	28.0	30.0	26.0	165.0	99.0
Ricoh Caplio G3	2003	2048.0	35.0	30.0	8.0	230.0	99.0
Ricoh GR Digital	2005	3264.0	28.0	30.0	26.0	200.0	4999.0
Ricoh Caplio GX100	2007	3648.0	24.0	30.0	26.0	260.0	399.0
Ricoh Caplio GX8	2005	3264.0	28.0	30.0	26.0	260.0	99.0
Samsung Digimax A50	2005	2592.0	35.0	80.0	11.0	185.0	229.0
Samsung Digimax 230	2002	1600.0	33.0	80.0	0.0	0.0	229.0
Samsung Digimax 430	2004	2272.0	35.0	80.0	32.0	210.0	229.0
Samsung Digimax 530	2004	2592.0	38.0	80.0	32.0	195.0	229.0
Samsung Digimax V4	2003	2272.0	38.0	80.0	0.0	210.0	229.0
Samsung GX-10	2006	3872.0	0.0	0.0	0.0	793.0	199.0
Samsung Digimax i5	2005	2595.0	39.0	50.0	50.0	155.0	229.0
Samsung Digimax i6	2006	2816.0	39.0	50.0	45.0	0.0	229.0
Samsung i7	2007	3072.0	38.0	80.0	450.0	210.0	119.0
Samsung L700	2007	3072.0	35.0	80.0	20.0	170.0	199.0
Samsung L77	2007	3072.0	38.0	80.0	0.0	0.0	119.0
Samsung NV10	2006	3648.0	35.0	80.0	20.0	190.0	229.0
Samsung NV3	2006	3072.0	38.0	80.0	15.0	155.0	229.0
Samsung NV8	2007	3264.0	34.0	80.0	20.0	0.0	229.0
Samsung S630	2007	2816.0	35.0	80.0	16.0	186.0	99.0
Samsung S730	2007	3072.0	35.0	80.0	16.0	186.0	99.0
Samsung S830	2007	3264.0	35.0	80.0	45.0	220.0	99.0
Samsung S85	2007	3264.0	38.0	80.0	20.0	204.0	149.0
Samsung Digimax V40	2004	2272.0	35.0	80.0	0.0	230.0	229.0
Samsung Digimax V5	2004	2592.0	38.0	80.0	0.0	180.0	229.0
Samsung Digimax V50	2004	2592.0	35.0	80.0	256.0	230.0	229.0
Samsung Digimax V6	2004	2816.0	38.0	80.0	0.0	220.0	229.0
Samsung Digimax V700	2005	3072.0	38.0	80.0	128.0	220.0	229.0
Samsung Digimax V800	2005	3264.0	38.0	80.0	32.0	220.0	229.0
Sanyo DSC-J1	2003	2048.0	37.0	20.0	8.0	205.0	429.0
Sanyo DSC-S1	2003	2048.0	36.0	50.0	8.0	190.0	149.0
Sanyo Xacti DSC-S3	2004	2048.0	37.0	50.0	16.0	185.0	1399.0
Sanyo Xacti DSC-S4	2004	2288.0	37.0	50.0	16.0	185.0	1399.0
Sanyo VPC-X350	1999	1024.0	38.0	60.0	4.0	260.0	149.0
Sanyo VPC-Z400	1999	1280.0	34.0	80.0	4.0	350.0	149.0
Sigma DP1	2006	2640.0	28.0	0.0	0.0	270.0	1599.0
Sigma SD10	2003	2268.0	0.0	0.0	0.0	950.0	1599.0
Sigma SD14	2006	2640.0	0.0	0.0	0.0	750.0	19.0
Sigma SD9	2002	2268.0	0.0	0.0	0.0	950.0	19.0
Sony Mavica CD200	2001	1600.0	39.0	50.0	8.0	620.0	1399.0
Sony Mavica CD300	2001	2048.0	34.0	50.0	8.0	620.0	1399.0
Sony Mavica CD400	2002	2272.0	34.0	50.0	6.0	640.0	1399.0
Sony Mavica CD500	2003	2592.0	34.0	50.0	1.0	606.0	1399.0
Sony DSC-H1	2005	2592.0	36.0	50.0	32.0	591.0	429.0
Sony DSC-H2	2006	2816.0	36.0	50.0	32.0	490.0	429.0
Sony DSC-H3	2007	3264.0	38.0	50.0	31.0	264.0	429.0
Sony DSC-H5	2006	3072.0	36.0	50.0	32.0	490.0	429.0
Sony DSC-H7	2007	3264.0	31.0	50.0	31.0	405.0	429.0
Sony DSC-H9	2007	3264.0	31.0	50.0	31.0	440.0	429.0
Sony DSC-P1	2000	2048.0	39.0	50.0	8.0	250.0	429.0
Sony DSC-P2	2002	1600.0	39.0	50.0	16.0	214.0	399.0
Sony DSC-P3	2001	1920.0	36.0	25.0	8.0	194.0	429.0
Sony DSC-P5	2001	2048.0	39.0	50.0	8.0	214.0	429.0
Sony DSC-P7	2002	2048.0	39.0	50.0	16.0	214.0	149.0
Sony DSC-P8	2003	2048.0	39.0	50.0	16.0	206.0	429.0
Sony DSC-P9	2002	2272.0	39.0	50.0	16.0	206.0	429.0
Sony DSC-U10	2002	1280.0	33.0	10.0	8.0	118.0	149.0
Sony DSC-U20	2002	1632.0	33.0	10.0	8.0	118.0	399.0
Sony DSC-U30	2003	1632.0	33.0	10.0	8.0	130.0	149.0
Sony DSC-U40	2003	1632.0	33.0	10.0	8.0	130.0	149.0
Sony DSC-U50	2003	1632.0	33.0	10.0	8.0	132.0	149.0
Sony DSC-U60	2003	1632.0	33.0	10.0	8.0	200.0	149.0
Sony DSC-W100	2006	3264.0	38.0	50.0	64.0	192.0	149.0
Sony DSC-W200	2007	4000.0	35.0	34.0	31.0	195.0	399.0
Sony DSLR-A100	2006	3872.0	0.0	0.0	0.0	638.0	599.0
Sony DSLR-A700	2007	4272.0	0.0	0.0	0.0	768.0	599.0
Sony Mavica FD-100	2002	1280.0	37.0	0.0	1.0	0.0	1399.0
Sony Mavica FD-200	2002	1600.0	37.0	19.0	1.0	520.0	1399.0
Toshiba PDR-3310	2002	2048.0	35.0	55.0	8.0	205.0	177.0
Toshiba PDR-3330	2002	2048.0	35.0	80.0	8.0	320.0	177.0
Toshiba PDR-4300	2003	2400.0	35.0	80.0	16.0	0.0	599.0
Toshiba PDR-5300	2003	2560.0	35.0	80.0	16.0	230.0	177.0
Toshiba PDR-M1	1998	1280.0	35.0	50.0	4.0	290.0	62.0
Toshiba PDR-M3	1999	1280.0	38.0	90.0	4.0	380.0	62.0
Toshiba PDR-M4	1999	1600.0	40.0	50.0	8.0	290.0	62.0
Toshiba PDR-M5	1999	1600.0	40.0	90.0	8.0	350.0	62.0
